10-1995	11.61 
10-1996	10.98 
10-1997	11.88 
10-1998	10.43 
10-1999	11.22 
10-2000	12.31 
10-2001	10.85 
10-2002	11.29 
10-2003	11.79 
10-2004	11.19 
10-2005	13.66 
10-2040	14.20 
10-2041	14.25 
10-2042	13.26 
10-2043	14.48 
10-2044	13.42 
10-2045	15.23 
10-2046	15.88 
10-2047	14.05 
10-2048	14.43 
10-2049	14.89 
10-2050	13.04 
10-2051	14.11 
10-2052	14.27 
10-2053	14.17 
10-2054	14.66 
10-2055	15.17 
10-2056	13.20 
10-2057	14.82 
10-2058	15.88 
10-2059	15.27 
10-2060	16.39 
10-2061	14.10 
10-2062	15.96 
10-2063	15.41 
10-2064	15.55 
10-2065	16.47 
10-2066	15.91 
10-2067	16.63 
10-2068	14.99 
10-2069	16.54 
11-1986	3.15 
11-1987	3.68 
11-1988	2.80 
11-1989	3.39 
11-1990	4.04 
11-1991	3.26 
11-1992	3.05 
11-1993	3.66 
11-1994	4.00 
11-1995	2.66 
11-1996	4.45 
11-1997	3.93 
11-1998	3.03 
11-1999	4.14 
11-2000	4.54 
11-2001	4.15 
11-2002	4.15 
11-2003	3.96 
11-2004	3.67 
11-2005	5.15 
11-2040	4.61 
11-2041	5.08 
11-2042	4.86 
11-2043	6.48 
11-2044	4.70 
11-2045	5.87 
11-2046	5.41 
11-2047	5.98 
11-2048	5.64 
11-2049	6.39 
11-2050	6.43 
11-2051	5.57 
11-2052	7.28 
11-2053	6.03 
11-2054	7.94 
11-2055	8.03 
11-2056	6.15 
11-2057	5.66 
11-2058	6.86 
11-2059	7.19 
11-2060	7.98 
11-2061	7.66 
11-2062	7.33 
11-2063	8.24 
11-2064	5.41 
11-2065	7.77 
11-2066	7.99 
11-2067	6.20 
11-2068	6.09 
11-2069	7.58 
12-1985	-1.32 
12-1986	-1.24 
12-1987	-0.52 
12-1988	-3.27 
12-1989	-3.50 
12-1990	-2.49 
12-1991	-0.88 
12-1992	-1.57 
12-1993	-1.47 
12-1994	-1.04 
12-1995	-2.92 
12-1996	-2.03 
12-1997	-2.56 
12-1998	-1.97 
12-1999	-1.62 
12-2000	-0.23 
12-2001	-1.13 
12-2002	-1.14 
12-2003	0.07 
12-2004	-1.59 
12-2039	0.49 
12-2040	-2.60 
12-2041	0.07 
12-2042	-1.18 
12-2043	0.58 
12-2044	0.11 
12-2045	-0.39 
12-2046	-0.24 
12-2047	-0.11 
12-2048	0.28 
12-2049	0.35 
12-2050	1.42 
12-2051	1.48 
12-2052	1.78 
12-2053	1.08 
12-2054	1.64 
12-2055	1.73 
12-2056	0.24 
12-2057	1.13 
12-2058	0.56 
12-2059	0.92 
12-2060	2.19 
12-2061	0.29 
12-2062	1.04 
12-2063	1.65 
12-2064	1.67 
12-2065	1.06 
12-2066	2.44 
12-2067	2.02 
